AuthorID,Author,Date,Content,Attachments,Reactions
7.57355E+17,neko neko#4061,2020-09-23 10:16,BTO NVDA 9/25 550c @.31 (scalp/day-trade) @here,,"BullTrades (3),👍 (2),100000 (1),arrowup (1)"
7.57355E+17,neko neko#4061,2020-09-23 10:29,SL. 497.49 / LOD.,,10000 (1)
3.96702E+17,Father#4214,2020-09-23 10:36,BTO SPY 322p 9/25 @ 0.85 @here,,"BullTrades (3),👍 (1),arrowup (1)"
3.96702E+17,Father#4214,2020-09-23 10:37,PT 324.15; SL 330,,
4.80583E+17,DCruz#3069,2020-09-23 10:39,BTO NFLX 9/25 500c @1.5 (swing) @here,,"BullTrades (3),gains (2),arrowup (1)"
4.80583E+17,DCruz#3069,2020-09-23 10:40,SL: 475 PT: 493,,
4.80583E+17,DCruz#3069,2020-09-23 10:48,NFLX already at 1.9 (over 25%) make sure you manage your own risk in today’s market. @here,,👍 (1)
7.57355E+17,neko neko#4061,2020-09-23 10:50,BTO CHWY 9/25 57c @.97 (scalp/day-trade) @here 57.70 upside,,"BullTrades (5),arrowup (1),👍 (1)"
7.57355E+17,neko neko#4061,2020-09-23 11:16,BTO ILMN 9/25 300c @.55 (This one will most likely be a swing) PT 284 270 SL @here,,BullTrades (4)
7.57355E+17,neko neko#4061,2020-09-23 11:19,I am playing the lows off this one,,
7.57355E+17,neko neko#4061,2020-09-23 11:26,STC CHWY 9/25 57c @1.21 (scalp/day-trade) @here sold half..,,"BullTrades (2),arrowup (1),👍 (1),💯 (1)"
7.57355E+17,neko neko#4061,2020-09-23 11:33,chwy all out an entry price.,,
3.96702E+17,Father#4214,2020-09-23 11:46,STC SPY 322p 9/25 @ 1.05 @here,,BullTrades (1)
7.57355E+17,neko neko#4061,2020-09-23 11:54,10m candle confirmation on NVDA SL please. let the candle close @here.,,
7.57355E+17,neko neko#4061,2020-09-23 12:00,"NVDA players, if you are worried about this play, please STC now.",,👍 (1)
7.57355E+17,neko neko#4061,2020-09-23 12:00,@here,,
3.96702E+17,Father#4214,2020-09-23 12:06,"@here SPY put now at 1.25. There is more downside potential. 324.15 is still my PT. I expected a larger bounce at 327 and planned to get back in. Congrats if you're still holding. Be cautious as we could see some more sideways trading before another fall. If you want to scalp the put again, look for 327 as resistance now",,
7.57355E+17,neko neko#4061,2020-09-23 12:16,we'll try this one... cheap play w/ a month left.,,
7.57355E+17,neko neko#4061,2020-09-23 12:17,BTO SOLO 10/16 3c @.30 @here,,"BullTrades (2),100000 (2)"
3.96702E+17,Father#4214,2020-09-23 12:20,"SPY 322p now at 100%. If you haven't locked in profit, make sure you do so! @here",,💯 (3)
2.69994E+17,Cblast#2108,2020-09-23 12:22,"@here FB at dynamic support here, expecting 250 to hold, still in contracts",,
3.96702E+17,Father#4214,2020-09-23 12:43,BTO SPY 329c 9/25 @ 0.99 @here,,"BullTrades (1),MonkaS (5)"
7.57355E+17,neko neko#4061,2020-09-23 13:28,"We can take off PTON here.. or at close. 
STC PTON 9/25 105c @.38 @here",,
5.18401E+17,EternalKing#0001,2020-09-23 13:39,@here bot is temporarily down 5 mins,,
5.18401E+17,EternalKing#0001,2020-09-23 13:45,It's back up,,
2.69994E+17,Cblast#2108,2020-09-24 7:30,"BTO TSLA 400c 9/25 @ 1.44 @here (risky, scalp)",,"BullTrades (5),100000 (3),👍 (6),vince (4)"
7.57355E+17,neko neko#4061,2020-09-24 7:33,BTO PENN 70c 9/25 @.53 (SCALP/DAYTRADE) @here,,"BullTrades (3),wut (1),vince (2),100000 (1),👍 (1)"
4.80583E+17,DCruz#3069,2020-09-24 7:40,"BTO MSFT 205c 9/25 @.8 (risky, scalp) @here",,BullTrades (2)
3.96702E+17,Father#4214,2020-09-24 7:41,STC SPY 329c 9/25 @ 0.2,,BullTrades (1)
3.96702E+17,Father#4214,2020-09-24 7:41,@here,,
4.80583E+17,DCruz#3069,2020-09-24 7:44,STC MSFT 205c 9/25 @1.01 @here,,"BullTrades (1),👍 (1)"
3.96702E+17,Father#4214,2020-09-24 7:45,BTO SPY 316p 9/25 @ 1.1 @here,,BullTrades (1)
3.96702E+17,Father#4214,2020-09-24 7:47,SL 322; PT 317,,
3.96702E+17,Father#4214,2020-09-24 7:48,STC SPY 316p 9/25 @ 0.7 (stopped out) @here,,BullTrades (1)
7.57355E+17,neko neko#4061,2020-09-24 7:50,"BTO TDOC 220c 9/25 @ .45 @here (risky, scalp)",,BullTrades (1)
2.69994E+17,Cblast#2108,2020-09-24 7:51,@everyone TSLA calls over 100%,,"vince (8),🐐 (9),ElonP (5),👍 (2)"
2.69994E+17,Cblast#2108,2020-09-24 7:52,STC TSLA 400c 9/25 @ 2.88 @here (100% 🚀),,"👍 (8),vince (2),100000 (3),BullTrades (2),🐐 (5)"
2.69994E+17,Cblast#2108,2020-09-24 7:52,Left a few runners for 0 or Hero (looking for 1000%),,
3.96702E+17,Father#4214,2020-09-24 7:53,STC NFLX 500c 9/25 @ 0.6 @here,,BullTrades (1)
7.57355E+17,neko neko#4061,2020-09-24 7:53,"67.2 target, 64.26 SL PENN",,tendies (1)
7.57355E+17,neko neko#4061,2020-09-24 8:04,STC TDOC 220c 9/25 @ .6 @here taking 1/3rd here.. small accts pls take all.,,"BullTrades (3),👍 (1)"
7.57355E+17,neko neko#4061,2020-09-24 8:07,"STC PENN 70c 9/25 @.77 theres 47%, lock some in.. small accounts all.",,"BullTrades (3),👍 (2),100000 (1),vince (1)"
7.57355E+17,neko neko#4061,2020-09-24 8:10,PENN next target 68.7,,
7.57355E+17,neko neko#4061,2020-09-24 8:10,"BTO LULU 330c 9/25 @ .84 @here (risky, scalp)",,BullTrades (1)
4.80583E+17,DCruz#3069,2020-09-24 8:16,"BTO SPY 315p 9/25 @.39 @here (lotto, scalp)",,BullTrades (3)
7.57355E+17,neko neko#4061,2020-09-24 8:17,"PENN  100% for the big boys, take some.",,
3.96702E+17,Father#4214,2020-09-24 8:18,PENN gap fill is 68.54 for those of you watching,,
4.80583E+17,DCruz#3069,2020-09-24 8:19,STC NFLX 500c 9/25 @.86 @here (swinging anything is risky in this market nowadays),,BullTrades (2)
7.57355E+17,neko neko#4061,2020-09-24 8:33,"STC LULU 165 9/25 @ .56 (risky, scalp) typo edit for bot",,
7.57355E+17,neko neko#4061,2020-09-24 8:33,"BTO ROKU 165p 9/25 @.56 @here (risky, scalp)",,BullTrades (2)
3.96702E+17,Father#4214,2020-09-24 8:58,BTO SHLL 55c 10/9 @ 3.90 (merger lotto),,"BullTrades (3),vince (3),🙏 (2)"
3.96702E+17,Father#4214,2020-09-24 8:59,@here this is a play based on the merger vote next week. Ticker change will go to HYLN. Looking for TVIQ/NKLA type pump.. Except Hyliion actually has products out already. Sell on the parabolic move when it happens,,
7.57355E+17,neko neko#4061,2020-09-24 9:15,"BTO AAPL 115c 9/25 @.13@here (risky, scalp) just having a little fun here",,
7.57355E+17,neko neko#4061,2020-09-24 9:15,😆,,
7.57355E+17,neko neko#4061,2020-09-24 9:24,"25% on aapl, mucking around. small accounts you know the deal",,
7.57355E+17,neko neko#4061,2020-09-24 9:27,"ROKU updates, I am waiting to see if it reclaims EMA support. Let's give it 3min. I'm looking on 10m timeframe",,
